id,version,set_num
198,1,21017-1
279,1,21008-1
2405,1,21011-1
2436,1,21030-1
2658,1,21021-1
3100,1,21031-1
3390,1,21020-1
4610,1,21029-1
5139,1,21000-2
6072,1,21005-1
6307,1,21034-1
6337,1,21033-1
6350,1,21015-1
7250,1,21019-1
7421,1,21001-1
8108,1,21027-1
8697,1,21014-1
9065,1,21010-1
9653,1,21006-1
9690,1,21004-1
10048,1,21013-1
10221,1,21009-1
10810,1,21032-1
11207,1,21028-1
11212,1,21007-1
11507,1,21026-1
11762,1,21018-1
11892,1,21022-1
13059,1,21024-1
13394,1,21000-1
13424,1,21050-1
14285,1,21003-1
14736,1,21012-1
15187,1,21016-1
15294,1,21002-1
15303,1,21023-1
17763,1,21035-1
19417,1,21036-1
20922,1,21037-1
21569,1,21039-1
24625,1,21041-1
25241,1,21042-1
26460,1,21047-1
30247,1,21043-1
30248,1,21044-1
34521,1,21045-1
34989,1,21046-1
38429,1,19710-1
38431,1,19720-1
38441,2,21006-1
38682,2,21019-1
38976,2,21041-1
42624,1,21051-1
42625,1,21052-1
42891,1,21038-1
45171,1,21055-1
45426,1,6291437-1
57843,1,21054-1
92871,3,21011-1
100709,1,21056-1
117648,1,21057-1
136700,1,21058-1
178728,2,21003-1
179806,1,21060-1
195936,2,21034-1
222990,1,21061-1
257732,1,21062-1
281438,1,21068-1
284473,1,21063-1
306319,1,21064-1
