id,name
1,Baseplates
3,Bricks Sloped
5,Bricks Special
6,Bricks Wedged
8,Technic Bricks
9,Plates Special
11,Bricks
12,Technic Connectors
13,Minifigs
14,Plates
15,Tiles Special
16,Windows and Doors
18,"Hinges, Arms and Turntables"
19,Tiles
20,Bricks Round and Cones
21,Plates Round Curved and Dishes
22,Pneumatics
23,Panels
25,"Technic Steering, Suspension and Engine"
26,Technic Special
27,Minifig Accessories
28,Animals / Creatures
29,Wheels and Tyres
30,Tubes and Hoses
31,"String, Bands and Reels"
32,"Bars, Ladders and Fences"
33,Rock
34,"Supports, Girders and Cranes"
36,Transportation - Land
37,Bricks Curved
41,Large Buildable Figures
46,Technic Axles
47,Windscreens and Fuselage
49,Plates Angled
51,Technic Beams
52,Technic Gears
53,Technic Pins
54,Technic Bushes
56,Tools
59,Minifig Heads
60,Minifig Upper Body
65,Minifig Headwear
67,Tiles Round and Curved
69,Energy Effects
71,Minifig Neckwear
73,"Minifig Shields, Weapons, & Tools"
75,Animal / Creature Body Parts
76,Plants & Trees
