part_num,name,part_cat_id,part_material
10197,Technic Pin Connector Hub with 2 Perpendicular Axles,12,Plastic
10201,Bracket 1 x 2 - 1 x 4 [Rounded Corners],9,Plastic
10928,Technic Gear 8 Tooth [Reinforced],52,Plastic
11090,Bar Holder with Clip,32,Plastic
11153,Slope Curved 4 x 1 No Studs [Stud Holder with Symmetric Ridges],37,Plastic
11203,Tile Special 2 x 2 Inverted,15,Plastic
11208,"Wheel 14mm D. x 9.9mm with Centre Groove, Fake Bolts and 6 Spokes",29,Plastic
11211,Brick Special 1 x 2 with 2 Studs on 1 Side,5,Plastic
11212,Plate 3 x 3,14,Plastic
11213,Plate Round 6 x 6 with Hole,21,Plastic
11253,Sports Roller Skate,27,Plastic
11256,Hair Short Wavy with Side Part,65,Plastic
11458,Plate Special 1 x 2 with Pin Hole on Top,9,Plastic
11476,Plate Special 1 x 2 with Clip Horizontal on Side,9,Plastic
11477,Slope Curved 2 x 1 No Studs [1/2 Bow],37,Plastic
11833,Plate Round 4 x 4 with 2 x 2 Round Opening,21,Plastic
12825,Tile Special 1 x 1 with Clip with Rounded Tips,15,Plastic
13547,Slope Curved 4 x 1 Inverted,37,Plastic
13548,Wedge Sloped 45° 2 x 2 Corner,6,Plastic
13731,Brick Curved 10 x 1 [Symmetric Inside Ridges],37,Plastic
13965,Brick Arch 1 x 3 x 3 [Gothic],37,Plastic
14226c31,String with End Studs 31L Overall,31,Plastic
14417,Plate Special 1 x 2 with 5.9mm Centre Side Towball,9,Plastic
14704,Plate Special 1 x 2 5.9mm Centre Side Towball Socket,9,Plastic
14716,Brick 1 x 1 x 3,11,Plastic
14718,Panel 1 x 4 x 2 with Side Supports - Hollow Studs,23,Plastic
14719,Tile 2 x 2 Corner,19,Plastic
14769,Tile Round 2 x 2 with Bottom Stud Holder,67,Plastic
14769pr0004,Tile Round 2 x 2 with Bottom Stud Holder with Fine Mesh Grille Print,67,Plastic
15068,Slope Curved 2 x 2 x 2/3,37,Plastic
15068pr0014,Slope Curved 2 x 2 x 2/3 with 'MUSEUM' Print,37,Plastic
15070,Plate Special 1 x 1 with Vertical Tooth,9,Plastic
15100,Technic Pin Connector Hub with 1 Pin with Friction Ridges Lengthwise,12,Plastic
15207,Panel 1 x 4 x 1 with Rounded Corners [Thin Wall],23,Plastic
15208,Plate Special 1 x 2 with Three Teeth [Tri-Tooth],9,Plastic
15209,Tile Special 1 x 2 with Two Vertical Teeth / Tooth,15,Plastic
15254,Brick Arch 1 x 6 x 2 - Thin Top without Reinforced Underside [New Version],37,Plastic
15332,Fence Spindled 1 x 4 x 2 [4 Top Studs],32,Plastic
15395,Brick Round 2 x 2 Dome Bottom [Open Stud],20,Plastic
15397,Plate 3 x 3 Cross,14,Plastic
15470,Plate Round 1 x 1 Swirled Top,21,Plastic
15535,Tile Round 2 x 2 with Hole,15,Plastic
15571,Slope 45° 2 x 1 Triple with Inside Stud Holder,3,Plastic
15573,Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper),9,Plastic
15672,Slope 45° 2 x 1 with 2/3 Cutout [New Version],3,Plastic
15712,Tile Special 1 x 1 with Clip with Rounded Edges,15,Plastic
16577,Brick Arch 1 x 8 x 2 Raised,37,Plastic
1703,"Animal Body Part, Horse Head (Toy Horse) [PLAIN]",75,Plastic
1745,Plate Round 1 x 2 Half Circle with Stud (Jumper),9,Plastic
1748,Tile Round 1 x 2 Half Circle,67,Plastic
18575,Technic Gear 20 Tooth Double Bevel with Axle Hole Type 1 [+ Opening],52,Plastic
18646,Plate Round Half 3 x 6 with 1 x 2 Cutout,21,Plastic
18649,Plate Special 1 x 2 with Handles on Ends,9,Plastic
18653,Brick Arch 1 x 3 x 2 Inverted [Inside Bow],37,Plastic
18654,Technic Pin Connector Round 1L [Beam],12,Plastic
18674,Plate Special Round 2 x 2 with Center Stud (Jumper Plate),9,Plastic
18677,Plate Special 1 x 2 with Pin Hole Underneath,9,Plastic
18838,Brick Arch 1 x 12 x 3 Raised Arch with 5 Cross Supports,37,Plastic
18948,Technic Driving Ring Connector,12,Plastic
18970,"Animal Body Part, Clam / Scallop Half Shell with 4 Studs",75,Plastic
18978a,Wheel Cover 5 Spoke - for Wheel 18976,29,Plastic
18978b,Wheel Cover 10 Spoke - for Wheel 18976,29,Plastic
18980,Plate Round Corners 2 x 6 Double,21,Plastic
19119,"Plant, Flower Stem with Bar and 6 Stems",76,Plastic
1927,Hinge Plate 1 x 4 Swivel Top / Base - Hollow Clip [Complete Assembly],18,Plastic
20482,Tile Round 1 x 1 with Hollow Bar,15,Plastic
21229,Fence Spindled 4 x 4 x 2 Quarter Round with 3 Studs,32,Plastic
21268,Hair Short Swept Back with Sideburns and Widow's Peak,65,Plastic
22385,Tile Special 2 x 3 Pentagonal,15,Plastic
22388,Slope 45° 1 x 1 x 2/3 Quadruple Convex [Pyramid],3,Plastic
22885,Brick Special 1 x 2 x 1 2/3 with 4 Studs on 1 Side,5,Plastic
22886,Brick 1 x 2 x 3 with Bottom Stud Holder,11,Plastic
22889,Slope Inverted 45° 6 x 2 Double with 2 x 4 Recessed,3,Plastic
22961,Technic Pin Connector Hub with 1 Axle,12,Plastic
2310,Slope 45° 2 x 1 Inverted with 2/3 Cutout,3,Plastic
23443,Bar Holder with Hole and Bar Handle,32,Plastic
2357,Brick 2 x 2 Corner,11,Plastic
23949,Slope 45° 2 x 6,3,Plastic
23950,Panel 1 x 3 x 1,23,Plastic
23969,Panel 1 x 2 x 1 with Rounded Corners and 2 Sides,23,Plastic
