set_num,name,year,theme_id,num_parts,img_url
19710-1,Sears Tower (Brickstructures Version),2008,252,68,https://cdn.rebrickable.com/media/sets/19710-1.jpg
19720-1,John Hancock Center (Brickstructures Version),2008,252,69,https://cdn.rebrickable.com/media/sets/19720-1.jpg
21000-1,Sears Tower,2008,252,69,https://cdn.rebrickable.com/media/sets/21000-1.jpg
21000-2,Willis Tower,2011,252,69,https://cdn.rebrickable.com/media/sets/21000-2.jpg
21001-1,John Hancock Center,2008,252,72,https://cdn.rebrickable.com/media/sets/21001-1.jpg
21002-1,Empire State Building,2009,252,77,https://cdn.rebrickable.com/media/sets/21002-1.jpg
21003-1,Seattle Space Needle,2009,252,57,https://cdn.rebrickable.com/media/sets/21003-1.jpg
21004-1,Solomon R. Guggenheim Museum,2009,252,208,https://cdn.rebrickable.com/media/sets/21004-1.jpg
21005-1,Fallingwater,2009,252,811,https://cdn.rebrickable.com/media/sets/21005-1.jpg
21006-1,The White House,2010,252,561,https://cdn.rebrickable.com/media/sets/21006-1.jpg
21007-1,Rockefeller Center,2010,252,240,https://cdn.rebrickable.com/media/sets/21007-1.jpg
21008-1,Burj Khalifa,2011,252,208,https://cdn.rebrickable.com/media/sets/21008-1.jpg
21009-1,Farnsworth House,2011,252,546,https://cdn.rebrickable.com/media/sets/21009-1.jpg
21010-1,Robie House,2011,252,2276,https://cdn.rebrickable.com/media/sets/21010-1.jpg
21011-1,Brandenburg Gate,2011,252,363,https://cdn.rebrickable.com/media/sets/21011-1.jpg
21012-1,Sydney Opera House,2012,252,270,https://cdn.rebrickable.com/media/sets/21012-1.jpg
21013-1,Big Ben,2012,252,346,https://cdn.rebrickable.com/media/sets/21013-1.jpg
21014-1,Villa Savoye,2012,252,660,https://cdn.rebrickable.com/media/sets/21014-1.jpg
21015-1,The Leaning Tower of Pisa,2013,252,345,https://cdn.rebrickable.com/media/sets/21015-1.jpg
21016-1,Sungnyemun,2012,252,325,https://cdn.rebrickable.com/media/sets/21016-1.jpg
21017-1,Imperial Hotel,2013,252,1188,https://cdn.rebrickable.com/media/sets/21017-1.jpg
21018-1,United Nations Headquarters,2013,252,597,https://cdn.rebrickable.com/media/sets/21018-1.jpg
21019-1,The Eiffel Tower,2014,252,320,https://cdn.rebrickable.com/media/sets/21019-1.jpg
21020-1,Trevi Fountain,2014,252,731,https://cdn.rebrickable.com/media/sets/21020-1.jpg
21021-1,Marina Bay Sands,2014,252,602,https://cdn.rebrickable.com/media/sets/21021-1.jpg
